600107.sh	美尔雅
600108.sh	亚盛集团
600109.sh	国金证券
600110.sh	中科英华
600111.sh	包钢稀土
600112.sh	长征电气
600113.sh	浙江东日
600114.sh	东睦股份
600115.sh	ST东航
600116.sh	三峡水利
600117.sh	西宁特钢
600118.sh	中国卫星
600119.sh	长江投资
600120.sh	浙江东方
600121.sh	郑州煤电
600122.sh	宏图高科
600123.sh	兰花科创
600125.sh	铁龙物流
600126.sh	杭钢股份
600127.sh	金健米业
600128.sh	弘业股份
600129.sh	太极集团
600130.sh	*ST波导
600131.sh	岷江水电
600132.sh	重庆啤酒
600133.sh	东湖高新
600135.sh	乐凯胶片
600136.sh	ST道博
600137.sh	浪莎股份
600138.sh	中青旅
600139.sh	西部资源
600141.sh	兴发集团
600143.sh	金发科技
600145.sh	四维控股
600146.sh	大元股份
600148.sh	长春一东
600149.sh	华夏建通
600150.sh	中国船舶
600151.sh	航天机电
600152.sh	维科精华
600153.sh	建发股份
600155.sh	*ST宝硕
600156.sh	华升股份
600157.sh	鲁润股份
600158.sh	中体产业
600159.sh	大龙地产
600160.sh	巨化股份
600161.sh	天坛生物
600162.sh	香江控股
600163.sh	福建南纸
600165.sh	宁夏恒力
600166.sh	福田汽车
600167.sh	联美控股
600168.sh	武汉控股
600169.sh	太原重工
600170.sh	上海建工
600171.sh	上海贝岭
600172.sh	黄河旋风
600173.sh	卧龙地产
600175.sh	美都控股
600176.sh	中国玻纤
600177.sh	雅戈尔
600178.sh	东安动力
600179.sh	黑化股份
600180.sh	*ST九发
600182.sh	S佳通
600183.sh	生益科技
600184.sh	新华光
600185.sh	*ST海星
600186.sh	莲花味精
600187.sh	ST国中
600188.sh	兖州煤业
600189.sh	吉林森工
600190.sh	锦州港
600191.sh	华资实业
600192.sh	长城电工
600193.sh	创兴置业
600195.sh	中牧股份
600196.sh	复星医药
600197.sh	伊力特
600198.sh	大唐电信
600199.sh	金种子酒
600200.sh	江苏吴中
600201.sh	金宇集团
600202.sh	哈空调
600203.sh	福日电子
600206.sh	有研硅股
600207.sh	ST安彩
600208.sh	新湖中宝
600209.sh	罗顿发展
600210.sh	紫江企业
600211.sh	西藏药业
600212.sh	江泉实业
600213.sh	亚星客车
600215.sh	长春经开
600216.sh	浙江医药
600217.sh	ST秦岭
600218.sh	全柴动力
600219.sh	南山铝业
600220.sh	江苏阳光
600221.sh	海南航空
600222.sh	太龙药业
600223.sh	ST鲁置业
600225.sh	ST松江
600226.sh	升华拜克
600227.sh	赤天化
600228.sh	昌九生化
600229.sh	青岛碱业
600230.sh	沧州大化
600231.sh	凌钢股份
600232.sh	金鹰股份
600233.sh	大杨创世
600234.sh	*ST天龙
600235.sh	民丰特纸
600236.sh	桂冠电力
600237.sh	铜峰电子
600238.sh	海南椰岛
600239.sh	云南城投
600240.sh	华业地产
600241.sh	时代万恒
600242.sh	ST华龙
600243.sh	青海华鼎
600246.sh	万通地产
600247.sh	成城股份
600248.sh	延长化建
600249.sh	两面针
600250.sh	南纺股份
600251.sh	冠农股份
600252.sh	中恒集团
600253.sh	*ST天方
600255.sh	鑫科材料
600256.sh	广汇股份
600257.sh	大湖股份
600258.sh	首旅股份
600259.sh	ST有色
600260.sh	凯乐科技
600261.sh	浙江阳光
600262.sh	北方股份
600263.sh	路桥建设
600265.sh	景谷林业
600266.sh	北京城建
600267.sh	海正药业
600268.sh	国电南自
600269.sh	赣粤高速
600270.sh	外运发展
600271.sh	航天信息
600272.sh	开开实业
600273.sh	华芳纺织
600275.sh	*ST昌鱼
600276.sh	恒瑞医药
600277.sh	亿利能源
600278.sh	东方创业
600279.sh	重庆港九
600280.sh	南京中商
600281.sh	太化股份
600282.sh	南钢股份
600283.sh	钱江水利
600284.sh	浦东建设
600285.sh	羚锐股份
600287.sh	江苏舜天
600288.sh	大恒科技
600289.sh	亿阳信通
600290.sh	华仪电气
600291.sh	西水股份
600292.sh	九龙电力
600293.sh	三峡新材
600295.sh	鄂尔多斯
600297.sh	美罗药业
600298.sh	安琪酵母
600299.sh	蓝星新材
600300.sh	维维股份
600301.sh	南化股份
600302.sh	标准股份
600303.sh	曙光股份
600305.sh	恒顺醋业
600306.sh	商业城
600307.sh	酒钢宏兴
600308.sh	华泰股份
600309.sh	烟台万华
600310.sh	桂东电力
600311.sh	荣华实业
600312.sh	平高电气
600313.sh	*ST中农
600315.sh	上海家化
600316.sh	洪都航空
600317.sh	营口港
600318.sh	巢东股份
600319.sh	亚星化学
600320.sh	振华重工
600321.sh	国栋建设
600322.sh	天房发展
600323.sh	南海发展
600325.sh	华发股份
600326.sh	西藏天路
600327.sh	大厦股份
600328.sh	兰太实业
600329.sh	中新药业
600330.sh	天通股份
600331.sh	宏达股份
600332.sh	广州药业
600333.sh	长春燃气
600335.sh	鼎盛天工
600336.sh	澳柯玛
600337.sh	美克股份
600338.sh	ST珠峰
600339.sh	天利高新
600340.sh	*ST国祥
600343.sh	航天动力
600345.sh	长江通信
600346.sh	大橡塑
600348.sh	国阳新能
600350.sh	山东高速
600351.sh	亚宝药业
600352.sh	浙江龙盛
600353.sh	旭光股份
600354.sh	敦煌种业
600355.sh	精伦电子
600356.sh	恒丰纸业
600357.sh	承德钒钛
600358.sh	国旅联合
600359.sh	新农开发
600360.sh	华微电子
600361.sh	华联综超
600362.sh	江西铜业
600363.sh	联创光电
600365.sh	通葡股份
600366.sh	宁波韵升
600367.sh	红星发展
600368.sh	五洲交通
600369.sh	西南证券
600370.sh	三房巷
600371.sh	万向德农
600372.sh	*ST昌河
600373.sh	鑫新股份
600375.sh	星马汽车
600376.sh	首开股份
600377.sh	宁沪高速
600378.sh	天科股份
600379.sh	宝光股份
600380.sh	健康元
600381.sh	ST贤成
600382.sh	广东明珠
600383.sh	金地集团
600385.sh	ST金泰
600386.sh	北巴传媒
600387.sh	海越股份
600388.sh	龙净环保
600389.sh	江山股份
600390.sh	金瑞科技
600391.sh	成发科技
600392.sh	太工天成
600393.sh	东华实业
600395.sh	盘江股份
600396.sh	金山股份
600397.sh	安源股份
600398.sh	凯诺科技
600399.sh	抚顺特钢
600400.sh	红豆股份
600401.sh	*ST申龙
600403.sh	欣网视讯
600405.sh	动力源
600406.sh	国电南瑞
600408.sh	安泰集团
600409.sh	三友化工
600410.sh	华胜天成
600415.sh	小商品城
600416.sh	湘电股份
600418.sh	江淮汽车
600419.sh	ST天宏
600420.sh	现代制药
600421.sh	*ST国药
600422.sh	昆明制药
600423.sh	柳化股份
600425.sh	青松建化
600426.sh	华鲁恒升
600428.sh	中远航运
600429.sh	三元股份
600432.sh	吉恩镍业
600433.sh	冠豪高新
600435.sh	中兵光电
600436.sh	片仔癀
600438.sh	通威股份
600439.sh	瑞贝卡
600444.sh	国通管业
600446.sh	金证股份
600448.sh	华纺股份
600449.sh	赛马实业
600452.sh	涪陵电力
600455.sh	交大博通
600456.sh	宝钛股份
600458.sh	时代新材
600459.sh	贵研铂业
600460.sh	士兰微
600461.sh	洪城水业
600462.sh	ST石岘
600463.sh	空港股份
600466.sh	迪康药业
600467.sh	好当家
600468.sh	百利电气
600469.sh	风神股份
600470.sh	六国化工
600475.sh	华光股份
600476.sh	湘邮科技
600477.sh	杭萧钢构
600478.sh	科力远
600479.sh	千金药业
600480.sh	凌云股份
600481.sh	双良股份
600482.sh	风帆股份
600483.sh	福建南纺
600485.sh	中创信测
600486.sh	扬农化工
600487.sh	亨通光电
600488.sh	天药股份
600489.sh	中金黄金
600490.sh	中科合臣
600491.sh	龙元建设
600493.sh	凤竹纺织
600495.sh	晋西车轴
600496.sh	精工钢构
600497.sh	驰宏锌锗
600498.sh	烽火通信
600499.sh	科达机电
600500.sh	中化国际
600501.sh	航天晨光
600502.sh	安徽水利
600503.sh	华丽家族
600505.sh	西昌电力
600506.sh	*ST香梨
600507.sh	长力股份
600508.sh	上海能源
600509.sh	天富热电
600510.sh	黑牡丹
600511.sh	国药股份
600512.sh	腾达建设
600513.sh	联环药业
600515.sh	ST筑信
600516.sh	方大炭素
600517.sh	置信电气
600518.sh	康美药业
600519.sh	贵州茅台
600520.sh	三佳科技
600521.sh	华海药业
600522.sh	中天科技
600523.sh	贵航股份
600525.sh	长园集团
600526.sh	菲达环保
600527.sh	江南高纤
600528.sh	中铁二局
600529.sh	山东药玻
600530.sh	交大昂立
600531.sh	豫光金铅
600532.sh	华阳科技
600533.sh	栖霞建设
600535.sh	天士力
600536.sh	中国软件
600537.sh	海通集团
600538.sh	北海国发
600539.sh	狮头股份
600540.sh	新赛股份
600543.sh	莫高股份
600545.sh	新疆城建
600546.sh	中油化建
600547.sh	山东黄金
600548.sh	深高速
600549.sh	厦门钨业
600550.sh	天威保变
600551.sh	时代出版
600552.sh	方兴科技
600553.sh	太行水泥
600555.sh	九龙山
600556.sh	*ST北生
600557.sh	康缘药业
600558.sh	大西洋
600559.sh	老白干酒
600560.sh	金自天正
600561.sh	江西长运
600562.sh	高淳陶瓷
600563.sh	法拉电子
600565.sh	迪马股份
600566.sh	洪城股份
600567.sh	山鹰纸业
600568.sh	ST潜药
600569.sh	安阳钢铁
600570.sh	恒生电子
600571.sh	信雅达
600572.sh	康恩贝
600573.sh	惠泉啤酒
600575.sh	芜湖港
600576.sh	万好万家
600577.sh	精达股份
600578.sh	京能热电
600579.sh	ST黄海
600580.sh	卧龙电气
600581.sh	八一钢铁
600582.sh	天地科技
600583.sh	海油工程
600584.sh	长电科技
600585.sh	海螺水泥
600586.sh	金晶科技
600587.sh	新华医疗
600588.sh	用友软件
600589.sh	广东榕泰
600590.sh	泰豪科技
600591.sh	*ST上航
600592.sh	龙溪股份
600593.sh	大连圣亚
600594.sh	益佰制药
600595.sh	中孚实业
600596.sh	新安股份
600597.sh	光明乳业
600598.sh	北大荒
600599.sh	熊猫烟花
600600.sh	青岛啤酒
600601.sh	方正科技
600602.sh	广电电子
600603.sh	ST兴业
