#symbol,announce_date,bonus_stock,transit_stock,dividen,total_share,x_date,registration_date,list_date
600038.sh,20080701,,,1,,20080707,20080704,,
600038.sh,20060816,,,3.37,,20060822,20060821,20060824,
600038.sh,20050630,,,1,,20050706,20050705,,
600038.sh,20040708,3,,1,,20040714,20040713,20040715,
600038.sh,20020510,2,4,1,,20020516,20020515,20100413,
600039.sh,20061229,,6,,,20070105,20070104,20070108,
600039.sh,20040602,,2,0.5,,20040608,20040607,20040609,
600048.sh,20090424,3,,1.32,,20090430,20090429,20090504,
600048.sh,20080305,,10,0.7,,20080311,20080310,20080312,
600048.sh,20070327,,10,0.3,,20070402,20070330,20070403,
600050.sh,20090707,,,0.672,,20090713,20090710,,
600050.sh,20080624,,,0.672,,20080630,20080627,,
600050.sh,20070621,,,0.672,,20070627,20070626,,
600050.sh,20060619,,,0.414,,20060623,20060622,,
600050.sh,20050620,,,0.325,,20050624,20050623,,
600050.sh,20040621,,,0.35,,20040625,20040624,,
600050.sh,20030610,,,0.357,,20030616,20030613,,
600051.sh,20090604,,,2,,20090610,20090609,,
600051.sh,20070608,,,5,,20070614,20070613,,
600051.sh,20060609,,,0.2,,20060615,20060614,,
600051.sh,20050603,,,1,,20050609,20050608,,
600051.sh,20040611,,,1.6,,20040617,20040616,,
600051.sh,20030528,,,1,,20030603,20030602,,
600051.sh,20020613,,,1,,20020620,20020619,20100413,
600051.sh,20010619,,,1.1,,20010628,20010627,,
600051.sh,19990615,,,1,,19990625,19990624,,
600051.sh,19980409,8,,,,19980415,19980414,19980415,
600051.sh,19970601,4,,2,,19970609,19970606,19970609,
600052.sh,20070410,,2,,,20070412,20070411,20070413,
600052.sh,20020717,,,1.14,,20020723,20020722,,
600052.sh,20010522,,,1,,20010529,20010528,,
600052.sh,20000519,3,2,,,20000525,20000524,20000525,
600052.sh,19990507,,,1,,19990513,19990512,,
600052.sh,19970627,2.5,5.5,,,19970707,19970704,19970707,
600053.sh,20090505,,2,0.5,,20090512,20090511,20090513,
600053.sh,20010523,,,1,,20010530,20010529,,
600053.sh,19980429,2,1,,,19980506,19980505,19980506,
600054.sh,20090708,,,1,,20090714,20090713,,
600054.sh,20080808,,,1.45,,20080814,20080813,,
600054.sh,20070410,,,1.4,,20070416,20070413,,
600054.sh,20061027,,5,,,20061102,20061101,20061103,
600054.sh,20060627,,,0.85,,20060703,20060630,,
600054.sh,20050617,,,1,,20050623,20050622,,
600054.sh,20030702,,,0.2,,20030709,20030708,,
600054.sh,20020622,,,0.3,,20020628,20020627,,
600054.sh,20000524,,,1.46,,20000526,20000525,,
600054.sh,19991209,,3,,,19991214,19991213,19991214,
600054.sh,19990617,,,2,,19990622,19990621,,
600055.sh,20090722,,,0.6,,20090728,20090727,,
600055.sh,20080602,2,3,0.223,,20080606,20080605,20080610,
600055.sh,20070614,,,0.5,,20070620,20070619,,
600055.sh,20060804,,,0.5,,20060810,20060809,,
600055.sh,20050607,,,0.8,,20050613,20050610,,
600055.sh,20040607,1,2,1.2,,20040614,20040611,20040615,
600055.sh,20030617,,,1,,20030623,20030620,,
600055.sh,20020614,,,1,,20020620,20020619,20100413,
600055.sh,20010511,,,2,,20010518,20010517,,
600055.sh,20000601,,,1,,20000606,20000605,,
600055.sh,19990616,,,1.5,,19990622,19990621,,
600055.sh,19980401,3,7,,,19980407,19980406,19980407,
600056.sh,20080603,,,4,,20080610,20080606,,
600056.sh,20060608,,4.91,,,20060612,20060609,20060613,
600056.sh,20060515,,,6,,20060519,20060518,,
600056.sh,20040519,,,1,,20040525,20040524,,
600056.sh,20030604,,6,1,,20030610,20030609,20030611,
600056.sh,20020604,,,1,,20020611,20020610,20100413,
600056.sh,20010612,,,1,,20010619,20010618,,
600056.sh,20000602,,,2,,20000607,20000606,,
600056.sh,19981110,,,4,,19981113,19981112,,
600057.sh,20040605,,,3.2,,20040611,20040610,,
600057.sh,20030527,2,,3.8,,20030602,20030530,20030603,
600057.sh,19990901,5,3,1.24,,19990908,19990907,19990908,
600057.sh,19980818,5,2,,,19980824,19980821,19980824,
600058.sh,20090608,,,3.2,,20090612,20090611,,
600058.sh,20080602,,,5,,20080606,20080605,,
600058.sh,20070615,,,3,,20070621,20070620,,
600058.sh,20060711,,,3,,20060717,20060714,,
600058.sh,20050620,,,2,,20050624,20050623,,
600058.sh,20041015,,5,,,20041021,20041020,20041022,
600058.sh,20040607,,,1.2,,20040614,20040611,,
600058.sh,20030607,,3,3,,20030613,20030612,20030616,
600058.sh,20020619,,,3,,20020625,20020624,20100413,
600058.sh,20000715,,,3,,20000720,20000719,,
600058.sh,19980525,3,,,,19980529,19980528,19980529,
600059.sh,20090423,,5,,,20090429,20090428,20090430,
600059.sh,20080418,,6,2,,20080425,20080424,20080428,
600059.sh,20070605,,,2,,20070611,20070608,,
600059.sh,20060613,,,2,,20060619,20060616,,
600059.sh,20050621,,,2,,20050627,20050624,,
600059.sh,20040629,,,2,,20040706,20040705,,
600059.sh,20030808,,,2,,20030815,20030814,,
600059.sh,20020628,,,2,,20020705,20020704,20100413,
600059.sh,20010417,,,2,,20010424,20010423,,
600059.sh,20000629,,,2,,20000706,20000705,,
600059.sh,19990709,,,2,,19990716,19990715,,
600059.sh,19970826,,8,,,19970901,19970829,19970901,
600060.sh,20090626,,,1.38,,20090703,20090702,,
600060.sh,20080708,,,1.2,,20080715,20080714,,
600060.sh,20070607,,,1,,20070613,20070612,,
600060.sh,20050711,,,1,,20050715,20050714,,
600060.sh,20010605,,,1.05,,20010612,20010611,,
600060.sh,19990531,,4,,,19990604,19990603,19990604,
600061.sh,20060714,,1.5,,,20060718,20060717,20060724,
600061.sh,20020711,,3,0.2,,20020717,20020716,20100413,
600061.sh,20010407,2,8,0.5,,20010413,20010412,20010413,
600061.sh,20000605,,,1,,20000608,20000607,,
600061.sh,19990723,,,1.5,,19990728,19990727,,
600061.sh,19980523,2,,,,19980528,19980527,19980528,
600062.sh,20090709,2,,1.35,,20090716,20090715,20090717,
600062.sh,20080611,,,1.85,,20080617,20080616,,
600062.sh,20070605,,,1.6,,20070611,20070608,,
600062.sh,20060627,,,1.8,,20060703,20060630,,
600062.sh,20030517,,,1,,20030522,20030521,,
600062.sh,20020427,,3,1,,20020513,20020510,20100413,
600062.sh,20010417,,,1,,20010424,20010423,,
