#symbol,announce_date,alloc_stock,alloc_price,total_share,x_date,registration_date,paydate_start,paydate_end,list_date,amount
600111.sh,20000407,3.00,7.6,36449,20000309,20000308,20000309,20000322,20000412,297798400,
600112.sh,19990826,3.00,6,16000,19990728,19990727,19990728,19990810,19990830,72000000,
600117.sh,20000704,1.76,7,54400,20000526,20000525,20000526,20000608,20000706,267540000,
600118.sh,20080107,3.00,18.19,22740.48,20071228,20071219,20071220,20071226,20080108,1207395047.02,
600118.sh,20001017,1.88,,18950.4,,,,,,,
600118.sh,20000914,3.00,,11844,,,,,,,
600120.sh,20001011,2.08,15,12960,20000830,20000829,20000830,20000912,20001016,171541800,
600121.sh,20010411,3.00,,45000,,,,,,,
600121.sh,20010222,3.00,,30000,,,,,,,
600121.sh,19990421,3.00,,30000,,,,,,,
600122.sh,20010327,2.00,14,29520,20010226,20010223,20010226,20010312,20010330,336000000,
600123.sh,20060804,3.00,,37125,,,,,,,
600123.sh,20001205,2.00,10.08,34500,20001102,20001101,20001102,20001115,20001208,264600000,
600125.sh,20030826,3.00,6.66,19077.6,20030807,20030806,20030807,20030820,20030829,201350448,
600125.sh,20000728,3.00,,,,,,,,,
600126.sh,20001209,3.00,8,60000,20001114,20001113,20001114,20001127,20001213,362700000,
600128.sh,20000830,3.00,8.5,11648.75,20000727,20000726,20000727,20000809,20000904,111073750,
600129.sh,20000330,2.50,11,23400,20000301,20000229,20000301,20000314,20000404,204600000,
600130.sh,20030428,3.00,,16000,,,,,,,
600131.sh,20011129,3.00,7.1,27347.88,20011030,20011029,20011030,20011112,20011204,163764240.6,
600132.sh,19991022,3.00,8,15700,19990825,19990824,19990825,19990907,19991027,110976000,
600133.sh,20020926,3.00,,27559.22,,,,,,,
600133.sh,20001010,3.00,12,25600,20000817,20000816,20000817,20000831,20001013,235106400,
600136.sh,20000823,3.00,14,9500,20000719,20000718,20000719,20000801,20000828,132216000,
600138.sh,20030930,3.00,,26700,,,,,,,
600138.sh,20000715,3.00,12,24000,20000607,20000606,20000607,20000620,20000719,324000000,
600139.sh,19990529,3.00,,,,,,,,,
600141.sh,20020924,3.00,,16000,,,,,,,
600141.sh,20020228,3.00,,16000,,,,,,,
600145.sh,20040529,3.00,,34650,,,,,,,
